StoreCode,No,Category,Hardware Type,Model,Qty,S/N,Note,Hardware Type Cleaned,Category Cleaned,SN_Clean
A001,1.0,POS,Mini Pc,HP Pro Mini 400 G9 - Intel Core i5 12500T/ (8GB x2) DDR4 3200/ SSD 512GB/ Mouse & Keyboard/ W11H/ 1Y Onsite,1.0,8CC3161T0J,,Mini Pc,POS,8CC3161T0J
A001,2.0,POS,Keyboard,Keyboard,1.0,,,Keyboard,POS,
A001,3.0,POS,Mouse,Mouse,1.0,,,Mouse,POS,
A001,4.0,POS,Cash Drawer,Poscom,1.0,20201130040,,Cash Drawer,POS,20201130040
A001,5.0,POS,Pole Display,Pole Display VFD,1.0,VFD220U13B20120035,,Pole Display,POS,VFD220U13B20120035
A001,6.0,POS,Scanning gun,Datalogic QW2100,1.0,G21M82792,,Scanning Gun,POS,G21M82792
A001,7.0,POS,Monitor,Monitor HP V190,1.0,1CR82307C4,,Monitor,POS,1CR82307C4
A001,8.0,POS,Bill Printer,Epson TM-82III,1.0,X7B9022774,,Bill Printer,POS,X7B9022774
A001,9.0,Network,"Switch (Internal Switch-POS, TF, Wifi)",Cisco CBS110-16T-EU,1.0,PSZ27181AHK,,"Switch (Internal Switch-Pos, Tf, Wifi)",NETWORK,PSZ27181AHK
A001,10.0,Network,Access Point,Unifi NanoHD,1.0,AC8BA9548380,,Access Point,NETWORK,AC8BA9548380
A001,11.0,Network,Firewall,Fortigate FG-40F - 1  Year UTP license,1.0,FGT40FTK2309D2D4,,Firewall,NETWORK,FGT40FTK2309D2D4
A001,12.0,Back-end,Printer,HP laser 107a,1.0,CNB3Q9MLY6,,Printer,BACK-END,CNB3Q9MLY6
A001,13.0,PDT,PDT,Zebra TC26BK-11A222-A6,1.0,S24165523020818,,Pdt,PDT,S24165523020818
A001,14.0,Back-end,Ipad,Ipad Air 13-inch(M3),1.0,F7N4GGJ73G,,Ipad,BACK-END,F7N4GGJ73G
A001,15.0,PDT,PDT's Printer,PDT Printer Star SM-L200-UB40,1.0,2530022102301145,,Pdt'S Printer,PDT,2530022102301145
A002,1.0,POS,Mini Pc,Desktop HP  PRO MINI 400 G9,1.0,8CC3213L46,,Mini Pc,POS,8CC3213L46
A002,4.0,POS,Cash Drawer,Poscom,1.0,20201130017,,Cash Drawer,POS,20201130017
A002,5.0,POS,Pole Display,Pole Display VFD,1.0,211130000023,,Pole Display,POS,211130000023
A002,6.0,POS,Scanning gun,Datalogic QW2100,1.0,G23D05251,,Scanning Gun,POS,G23D05251
A002,7.0,POS,Monitor,Monitor HP V190,1.0,1CR82307CJ,,Monitor,POS,1CR82307CJ
A002,8.0,POS,Bill Printer,Epson TM-82III,1.0,X7BA004104,,Bill Printer,POS,X7BA004104
A002,9.0,Network,"Switch (Internal Switch-POS, TF, Wifi)",Cisco CBS110-16T-EU,1.0,PSZ27181D30,,"Switch (Internal Switch-Pos, Tf, Wifi)",NETWORK,PSZ27181D30
A002,10.0,Network,Access Point,Wifi UBIQUITI UniFi,1.0,9C05D679853C,,Access Point,NETWORK,9C05D679853C
A002,11.0,Network,Firewall,Fortigate-40F,1.0,FGT40FTK24007310,,Firewall,NETWORK,FGT40FTK24007310
A002,12.0,Network,Access Point,Ruijie RG-EW1200G Pro,1.0,ZAU82MM037794,,Access Point,NETWORK,ZAU82MM037794
