assignment_key,asset_key,employee_id,assigned_date,actual_return_date,status,assigned_by,source_ref,notes
ASN:AID:22VN00000001:23019420,AID:22VN00000001,23019420,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=2,Derived from source holder/Employee Id
ASN:AID:22VN00000002:25018683,AID:22VN00000002,25018683,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=3,Derived from source holder/Employee Id
ASN:AID:22VN00000003:23019401,AID:22VN00000003,23019401,,,ACTIVE,DATA_IMPORT,Asset management/Office/Office assets.xlsx#Sheet1!row=4,Derived from source holder/Employee Id
ASN:AID:22VN00000004:23019404,AID:22VN00000004,23019404,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=5,Derived from source holder/Employee Id
ASN:AID:22VN00000009:23019399,AID:22VN00000009,23019399,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=8,Derived from source holder/Employee Id
ASN:AID:22VN00000013:23019384,AID:22VN00000013,23019384,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=13,Derived from source holder/Employee Id
ASN:AID:22VN00000014:23019385,AID:22VN00000014,23019385,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=14,Derived from source holder/Employee Id
ASN:AID:22VN00000015:23019398,AID:22VN00000015,23019398,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=15,Derived from source holder/Employee Id
ASN:AID:22VN00000016:26027754,AID:22VN00000016,26027754,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=16,Derived from source holder/Employee Id
ASN:AID:22VN00000018:26033070,AID:22VN00000018,26033070,,,ACTIVE,DATA_IMPORT,Asset management/Office/Office assets.xlsx#Sheet1!row=19,Derived from source holder/Employee Id
ASN:AID:22VN00000020:23019391,AID:22VN00000020,23019391,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=21,Derived from source holder/Employee Id
ASN:AID:22VN00000021:23019392,AID:22VN00000021,23019392,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=22,Derived from source holder/Employee Id
ASN:AID:22VN00000022:23019393,AID:22VN00000022,23019393,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=23,Derived from source holder/Employee Id
ASN:AID:22VN00000023:25019984,AID:22VN00000023,25019984,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=24,Derived from source holder/Employee Id
ASN:AID:22VN00000025:23019389,AID:22VN00000025,23019389,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=26,Derived from source holder/Employee Id
ASN:AID:22VN00000027:23019376,AID:22VN00000027,23019376,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=28,Derived from source holder/Employee Id
ASN:AID:22VN00000028:23025932,AID:22VN00000028,23025932,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=29,Derived from source holder/Employee Id
ASN:AID:22VN00000032:25023059,AID:22VN00000032,25023059,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=32,Derived from source holder/Employee Id
ASN:AID:22VN00000033:23019403,AID:22VN00000033,23019403,,,ACTIVE,DATA_IMPORT,Asset management/Office/Office assets.xlsx#Sheet1!row=34,Derived from source holder/Employee Id
ASN:AID:22VN00000035:23019422,AID:22VN00000035,23019422,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=35,Derived from source holder/Employee Id
ASN:AID:22VN00000037:26032000,AID:22VN00000037,26032000,,,ACTIVE,DATA_IMPORT,Asset management/Office/Office assets.xlsx#Sheet1!row=37,Derived from source holder/Employee Id
ASN:AID:22VN00000038:26029060,AID:22VN00000038,26029060,,,ACTIVE,DATA_IMPORT,Asset management/Office/Office assets.xlsx#Sheet1!row=38,Derived from source holder/Employee Id
ASN:AID:22VN00000041:25013875,AID:22VN00000041,25013875,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=39,Derived from source holder/Employee Id
ASN:AID:22VN00000042:23019394,AID:22VN00000042,23019394,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=40,Derived from source holder/Employee Id
ASN:AID:22VN00000044:23019428,AID:22VN00000044,23019428,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=42,Derived from source holder/Employee Id
ASN:AID:22VN00000047:26026763,AID:22VN00000047,26026763,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=46,Derived from source holder/Employee Id
ASN:AID:22VN00000049:26027749,AID:22VN00000049,26027749,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=47,Derived from source holder/Employee Id
ASN:AID:22VN00000050:23026764,AID:22VN00000050,23026764,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=49,Derived from source holder/Employee Id
ASN:AID:22VN00000051:23019370,AID:22VN00000051,23019370,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=50,Derived from source holder/Employee Id
ASN:AID:22VN00000052:23026370,AID:22VN00000052,23026370,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=51,Derived from source holder/Employee Id
ASN:AID:22VN00000053:23027920,AID:22VN00000053,23027920,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=52,Derived from source holder/Employee Id
ASN:AID:22VN00000059:25006527,AID:22VN00000059,25006527,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=58,Derived from source holder/Employee Id
ASN:AID:22VN00000061:23019424,AID:22VN00000061,23019424,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=59,Derived from source holder/Employee Id
ASN:AID:22VN00000062:23019383,AID:22VN00000062,23019383,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=60,Derived from source holder/Employee Id
ASN:AID:22VN00000063:24012956,AID:22VN00000063,24012956,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=61,Derived from source holder/Employee Id
ASN:AID:22VN00000064:25019163,AID:22VN00000064,25019163,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=62,Derived from source holder/Employee Id
ASN:AID:22VN00000066:23019381,AID:22VN00000066,23019381,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=63,Derived from source holder/Employee Id
ASN:AID:22VN00000067:26032382,AID:22VN00000067,26032382,,,ACTIVE,DATA_IMPORT,Asset management/Office/Office assets.xlsx#Sheet1!row=67,Derived from source holder/Employee Id
ASN:AID:22VN00000071:23019575,AID:22VN00000071,23019575,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=68,Derived from source holder/Employee Id
ASN:AID:22VN00000072:23019413,AID:22VN00000072,23019413,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=69,Derived from source holder/Employee Id
ASN:AID:22VN00000073:23019411,AID:22VN00000073,23019411,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=70,Derived from source holder/Employee Id
ASN:AID:22VN00000075:24010666,AID:22VN00000075,24010666,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=72,Derived from source holder/Employee Id
ASN:AID:22VN00000076:23019374,AID:22VN00000076,23019374,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=73,Derived from source holder/Employee Id
ASN:AID:22VN00000077:23029081,AID:22VN00000077,23029081,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=74,Derived from source holder/Employee Id
ASN:AID:22VN00000078:23019407,AID:22VN00000078,23019407,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=75,Derived from source holder/Employee Id
ASN:AID:22VN00000080:23019412,AID:22VN00000080,23019412,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=76,Derived from source holder/Employee Id
ASN:AID:22VN00000081:25017209,AID:22VN00000081,25017209,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=77,Derived from source holder/Employee Id
ASN:AID:22VN00000083:23019425,AID:22VN00000083,23019425,,,ACTIVE,DATA_IMPORT,Asset management/Office/Office assets.xlsx#Sheet1!row=82,Derived from source holder/Employee Id
ASN:AID:22VN00000086:23019369,AID:22VN00000086,23019369,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=82,Derived from source holder/Employee Id
ASN:AID:22VN00000087:25018937,AID:22VN00000087,25018937,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=83,Derived from source holder/Employee Id
ASN:AID:22VN00000092:26029968,AID:22VN00000092,26029968,,,ACTIVE,DATA_IMPORT,Asset management/Office/Office assets.xlsx#Sheet1!row=87,Derived from source holder/Employee Id
ASN:AID:22VN00000094:23019379,AID:22VN00000094,23019379,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=87,Derived from source holder/Employee Id
ASN:AID:22VN00000097:23019382,AID:22VN00000097,23019382,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=89,Derived from source holder/Employee Id
ASN:AID:22VN00000098:23019372,AID:22VN00000098,23019372,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=90,Derived from source holder/Employee Id
ASN:AID:22VN00000099:23019414,AID:22VN00000099,23019414,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=91,Derived from source holder/Employee Id
ASN:AID:22VN00000100:23019415,AID:22VN00000100,23019415,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=92,Derived from source holder/Employee Id
ASN:AID:22VN00000101:23019423,AID:22VN00000101,23019423,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=93,Derived from source holder/Employee Id
ASN:AID:22VN00000102:23019380,AID:22VN00000102,23019380,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=94,Derived from source holder/Employee Id
ASN:AID:22VN00000103:23019421,AID:22VN00000103,23019421,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=95,Derived from source holder/Employee Id
ASN:AID:22VN00000104:23024603,AID:22VN00000104,23024603,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=96,Derived from source holder/Employee Id
ASN:AID:22VN00000105:23019369,AID:22VN00000105,23019369,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=97,Derived from source holder/Employee Id
ASN:AID:22VN00000106:23019368,AID:22VN00000106,23019368,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=98,Derived from source holder/Employee Id
ASN:AID:22VN00110009:24024355,AID:22VN00110009,24024355,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=99,Derived from source holder/Employee Id
ASN:AID:22VN00110044:23025944,AID:22VN00110044,23025944,,,ACTIVE,DATA_IMPORT,Asset management/Office/Office assets.xlsx#Sheet1!row=102,Derived from source holder/Employee Id
ASN:AID:22VN00000018:23019403,AID:22VN00000018,23019403,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=19,Derived from source holder/Employee Id
ASN:AID:22VN00000034:25023059,AID:22VN00000034,25023059,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=34,Derived from source holder/Employee Id
ASN:AID:22VN00000037:23019425,AID:22VN00000037,23019425,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=36,Derived from source holder/Employee Id
ASN:AID:22VN00000038:23019401,AID:22VN00000038,23019401,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=37,Derived from source holder/Employee Id
ASN:AID:22VN00000039:23025944,AID:22VN00000039,23025944,,,ACTIVE,DATA_IMPORT,Audit 2026 device/Office assets.xlsx#Asset!row=38,Derived from source holder/Employee Id
