model_code,name,manufacturer,category_code,source_refs
M-314ACABD20,Laptop HP Latitude 7420,,LAP,Asset management/Office/Office assets.xlsx#Sheet1!row=2 | Audit 2026 device/Office assets.xlsx#Asset!row=2
M-3CC4BECE8A,Laptop Dell Latitude 7420,,LAP,Asset management/Office/Office assets.xlsx#Sheet1!row=3 | Audit 2026 device/Office assets.xlsx#Asset!row=3
M-485AB63FDB,Laptop Dell Latitude 5420,,LAP,Asset management/Office/Office assets.xlsx#Sheet1!row=4 | Asset management/Office/Office assets.xlsx#Sheet1!row=28 | Asset management/Office/Office assets.xlsx#Sheet1!row=32 | Asset management/Office/Office assets.xlsx#Sheet1!row=36 | Asset management/Office/Office assets.xlsx#Sheet1!row=47 | Asset management/Office/Office assets.xlsx#Sheet1!row=51 | Asset management/Office/Office assets.xlsx#Sheet1!row=58 | Asset management/Office/Office assets.xlsx#Sheet1!row=59 | Asset management/Office/Office assets.xlsx#Sheet1!row=98 | Audit 2026 device/Office assets.xlsx#Asset!row=4 | Audit 2026 device/Office assets.xlsx#Asset!row=28 | Audit 2026 device/Office assets.xlsx#Asset!row=31 | Audit 2026 device/Office assets.xlsx#Asset!row=35 | Audit 2026 device/Office assets.xlsx#Asset!row=46 | Audit 2026 device/Office assets.xlsx#Asset!row=50 | Audit 2026 device/Office assets.xlsx#Asset!row=57 | Audit 2026 device/Office assets.xlsx#Asset!row=58 | Audit 2026 device/Office assets.xlsx#Asset!row=96
M-C77A43B17B,Laptop Dell Latitude 5430,,LAP,Asset management/Office/Office assets.xlsx#Sheet1!row=5 | Asset management/Office/Office assets.xlsx#Sheet1!row=10 | Asset management/Office/Office assets.xlsx#Sheet1!row=12 | Asset management/Office/Office assets.xlsx#Sheet1!row=16 | Asset management/Office/Office assets.xlsx#Sheet1!row=21 | Asset management/Office/Office assets.xlsx#Sheet1!row=26 | Asset management/Office/Office assets.xlsx#Sheet1!row=38 | Asset management/Office/Office assets.xlsx#Sheet1!row=41 | Asset management/Office/Office assets.xlsx#Sheet1!row=50 | Asset management/Office/Office assets.xlsx#Sheet1!row=52 | Asset management/Office/Office assets.xlsx#Sheet1!row=53 | Asset management/Office/Office assets.xlsx#Sheet1!row=64 | Asset management/Office/Office assets.xlsx#Sheet1!row=65 | Asset management/Office/Office assets.xlsx#Sheet1!row=70 | Asset management/Office/Office assets.xlsx#Sheet1!row=71 | Asset management/Office/Office assets.xlsx#Sheet1!row=72 | Asset management/Office/Office assets.xlsx#Sheet1!row=73 | Asset management/Office/Office assets.xlsx#Sheet1!row=75 | Asset management/Office/Office assets.xlsx#Sheet1!row=76 | Asset management/Office/Office assets.xlsx#Sheet1!row=77 | Asset management/Office/Office assets.xlsx#Sheet1!row=80 | Asset management/Office/Office assets.xlsx#Sheet1!row=84 | Asset management/Office/Office assets.xlsx#Sheet1!row=87 | Asset management/Office/Office assets.xlsx#Sheet1!row=88 | Asset management/Office/Office assets.xlsx#Sheet1!row=91 | Audit 2026 device/Office assets.xlsx#Asset!row=5 | Audit 2026 device/Office assets.xlsx#Asset!row=8 | Audit 2026 device/Office assets.xlsx#Asset!row=10 | Audit 2026 device/Office assets.xlsx#Asset!row=11 | Audit 2026 device/Office assets.xlsx#Asset!row=15 | Audit 2026 device/Office assets.xlsx#Asset!row=21 | Audit 2026 device/Office assets.xlsx#Asset!row=26 | Audit 2026 device/Office assets.xlsx#Asset!row=37 | Audit 2026 device/Office assets.xlsx#Asset!row=39 | Audit 2026 device/Office assets.xlsx#Asset!row=49 | Audit 2026 device/Office assets.xlsx#Asset!row=51 | Audit 2026 device/Office assets.xlsx#Asset!row=52 | Audit 2026 device/Office assets.xlsx#Asset!row=62 | Audit 2026 device/Office assets.xlsx#Asset!row=67 | Audit 2026 device/Office assets.xlsx#Asset!row=68 | Audit 2026 device/Office assets.xlsx#Asset!row=69 | Audit 2026 device/Office assets.xlsx#Asset!row=70 | Audit 2026 device/Office assets.xlsx#Asset!row=72 | Audit 2026 device/Office assets.xlsx#Asset!row=73 | Audit 2026 device/Office assets.xlsx#Asset!row=74 | Audit 2026 device/Office assets.xlsx#Asset!row=77 | Audit 2026 device/Office assets.xlsx#Asset!row=78 | Audit 2026 device/Office assets.xlsx#Asset!row=82 | Audit 2026 device/Office assets.xlsx#Asset!row=86 | Audit 2026 device/Office assets.xlsx#Asset!row=87 | Audit 2026 device/Office assets.xlsx#Asset!row=89
M-EC8F0C4F53,Laptop Dell Latitude 3520,,LAP,Asset management/Office/Office assets.xlsx#Sheet1!row=6 | Asset management/Office/Office assets.xlsx#Sheet1!row=7 | Asset management/Office/Office assets.xlsx#Sheet1!row=9 | Asset management/Office/Office assets.xlsx#Sheet1!row=11 | Asset management/Office/Office assets.xlsx#Sheet1!row=13 | Asset management/Office/Office assets.xlsx#Sheet1!row=15 | Asset management/Office/Office assets.xlsx#Sheet1!row=17 | Asset management/Office/Office assets.xlsx#Sheet1!row=18 | Asset management/Office/Office assets.xlsx#Sheet1!row=19 | Asset management/Office/Office assets.xlsx#Sheet1!row=20 | Asset management/Office/Office assets.xlsx#Sheet1!row=22 | Asset management/Office/Office assets.xlsx#Sheet1!row=23 | Asset management/Office/Office assets.xlsx#Sheet1!row=24 | Asset management/Office/Office assets.xlsx#Sheet1!row=25 | Asset management/Office/Office assets.xlsx#Sheet1!row=29 | Asset management/Office/Office assets.xlsx#Sheet1!row=30 | Asset management/Office/Office assets.xlsx#Sheet1!row=34 | Asset management/Office/Office assets.xlsx#Sheet1!row=35 | Asset management/Office/Office assets.xlsx#Sheet1!row=37 | Asset management/Office/Office assets.xlsx#Sheet1!row=39 | Asset management/Office/Office assets.xlsx#Sheet1!row=40 | Asset management/Office/Office assets.xlsx#Sheet1!row=42 | Asset management/Office/Office assets.xlsx#Sheet1!row=43 | Asset management/Office/Office assets.xlsx#Sheet1!row=44 | Asset management/Office/Office assets.xlsx#Sheet1!row=49 | Asset management/Office/Office assets.xlsx#Sheet1!row=54 | Asset management/Office/Office assets.xlsx#Sheet1!row=55 | Asset management/Office/Office assets.xlsx#Sheet1!row=56 | Asset management/Office/Office assets.xlsx#Sheet1!row=57 | Asset management/Office/Office assets.xlsx#Sheet1!row=61 | Asset management/Office/Office assets.xlsx#Sheet1!row=62 | Asset management/Office/Office assets.xlsx#Sheet1!row=63 | Asset management/Office/Office assets.xlsx#Sheet1!row=66 | Asset management/Office/Office assets.xlsx#Sheet1!row=68 | Asset management/Office/Office assets.xlsx#Sheet1!row=69 | Asset management/Office/Office assets.xlsx#Sheet1!row=81 | Asset management/Office/Office assets.xlsx#Sheet1!row=82 | Asset management/Office/Office assets.xlsx#Sheet1!row=83 | Asset management/Office/Office assets.xlsx#Sheet1!row=85 | Audit 2026 device/Office assets.xlsx#Asset!row=7 | Audit 2026 device/Office assets.xlsx#Asset!row=9 | Audit 2026 device/Office assets.xlsx#Asset!row=12 | Audit 2026 device/Office assets.xlsx#Asset!row=14 | Audit 2026 device/Office assets.xlsx#Asset!row=16 | Audit 2026 device/Office assets.xlsx#Asset!row=17 | Audit 2026 device/Office assets.xlsx#Asset!row=18 | Audit 2026 device/Office assets.xlsx#Asset!row=19 | Audit 2026 device/Office assets.xlsx#Asset!row=20 | Audit 2026 device/Office assets.xlsx#Asset!row=22 | Audit 2026 device/Office assets.xlsx#Asset!row=23 | Audit 2026 device/Office assets.xlsx#Asset!row=24 | Audit 2026 device/Office assets.xlsx#Asset!row=25 | Audit 2026 device/Office assets.xlsx#Asset!row=29 | Audit 2026 device/Office assets.xlsx#Asset!row=33 | Audit 2026 device/Office assets.xlsx#Asset!row=34 | Audit 2026 device/Office assets.xlsx#Asset!row=36 | Audit 2026 device/Office assets.xlsx#Asset!row=38 | Audit 2026 device/Office assets.xlsx#Asset!row=40 | Audit 2026 device/Office assets.xlsx#Asset!row=41 | Audit 2026 device/Office assets.xlsx#Asset!row=42 | Audit 2026 device/Office assets.xlsx#Asset!row=47 | Audit 2026 device/Office assets.xlsx#Asset!row=48 | Audit 2026 device/Office assets.xlsx#Asset!row=53 | Audit 2026 device/Office assets.xlsx#Asset!row=54 | Audit 2026 device/Office assets.xlsx#Asset!row=55 | Audit 2026 device/Office assets.xlsx#Asset!row=56 | Audit 2026 device/Office assets.xlsx#Asset!row=59 | Audit 2026 device/Office assets.xlsx#Asset!row=60 | Audit 2026 device/Office assets.xlsx#Asset!row=61 | Audit 2026 device/Office assets.xlsx#Asset!row=63 | Audit 2026 device/Office assets.xlsx#Asset!row=65 | Audit 2026 device/Office assets.xlsx#Asset!row=66 | Audit 2026 device/Office assets.xlsx#Asset!row=79 | Audit 2026 device/Office assets.xlsx#Asset!row=80 | Audit 2026 device/Office assets.xlsx#Asset!row=81 | Audit 2026 device/Office assets.xlsx#Asset!row=83 | Audit 2026 device/Office assets.xlsx#Asset!row=84 | Audit 2026 device/Office assets.xlsx#Asset!row=101 | Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Office_Broken!row=3 | Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Office_Broken!row=4
M-AB5CBB65FB,Laptop Dell Latitude 3420,,LAP,Asset management/Office/Office assets.xlsx#Sheet1!row=8 | Asset management/Office/Office assets.xlsx#Sheet1!row=33 | Asset management/Office/Office assets.xlsx#Sheet1!row=92 | Asset management/Office/Office assets.xlsx#Sheet1!row=93 | Asset management/Office/Office assets.xlsx#Sheet1!row=94 | Asset management/Office/Office assets.xlsx#Sheet1!row=95 | Asset management/Office/Office assets.xlsx#Sheet1!row=96 | Asset management/Office/Office assets.xlsx#Sheet1!row=97 | Audit 2026 device/Office assets.xlsx#Asset!row=6 | Audit 2026 device/Office assets.xlsx#Asset!row=32 | Audit 2026 device/Office assets.xlsx#Asset!row=90 | Audit 2026 device/Office assets.xlsx#Asset!row=91 | Audit 2026 device/Office assets.xlsx#Asset!row=92 | Audit 2026 device/Office assets.xlsx#Asset!row=93 | Audit 2026 device/Office assets.xlsx#Asset!row=94 | Audit 2026 device/Office assets.xlsx#Asset!row=95
M-A645DD1D89,Laptop HP Pavilion 15-eg0xxx,,LAP,Asset management/Office/Office assets.xlsx#Sheet1!row=14 | Asset management/Office/Office assets.xlsx#Sheet1!row=46 | Audit 2026 device/Office assets.xlsx#Asset!row=13 | Audit 2026 device/Office assets.xlsx#Asset!row=45
M-9544C1F5DF,Laptop HP ProBook 440 G4,,LAP,Asset management/Office/Office assets.xlsx#Sheet1!row=27 | Audit 2026 device/Office assets.xlsx#Asset!row=27
M-367DE2FF9D,Laptop Lenovo Thinkpad X280,,LAP,Asset management/Office/Office assets.xlsx#Sheet1!row=31 | Asset management/Office/Office assets.xlsx#Sheet1!row=60 | Asset management/Office/Office assets.xlsx#Sheet1!row=74 | Asset management/Office/Office assets.xlsx#Sheet1!row=86 | Asset management/Office/Office assets.xlsx#Sheet1!row=89 | Asset management/Office/Office assets.xlsx#Sheet1!row=90 | Audit 2026 device/Office assets.xlsx#Asset!row=30 | Audit 2026 device/Office assets.xlsx#Asset!row=71 | Audit 2026 device/Office assets.xlsx#Asset!row=85 | Audit 2026 device/Office assets.xlsx#Asset!row=88
M-76DECFD34A,Laptop Dell Latitude 7490,,LAP,Asset management/Office/Office assets.xlsx#Sheet1!row=45 | Audit 2026 device/Office assets.xlsx#Asset!row=43 | Audit 2026 device/Office assets.xlsx#Asset!row=44
