observation_id,asset_key,observation_status,observed_location_code,intended_location_code,source_kind,source_ref,raw_asset_id,raw_serial_number,raw_name,raw_qty,unit_index
OBS-2C8F959953B9,AID:22VN00000001,IN_USE,HCM,,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=2,22VN00000001,DVV62J3,Laptop HP Latitude 7420,1,1
OBS-78FBAB45E825,AID:22VN00000002,IN_USE,HCM,,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=3,22VN00000002,124N1J3,Laptop Dell Latitude 7420,1,1
OBS-4FC2BB3B2F34,AID:22VN00000003,IN_USE,HCM,,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=4,22VN00000003,1Z8DZH3,Laptop Dell Latitude 5420,1,1
OBS-E8916302FD09,AID:22VN00000004,IN_USE,HCM,,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=5,22VN00000004,42X2SQ3,Laptop Dell Latitude 5430,1,1
OBS-537BEEC3830A,AID:22VN00000005,AVAILABLE,HCM,,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=6,22VN00000005,8P9VKG3,Laptop Dell Latitude 3520,1,1
OBS-EE1540A3C68F,AID:22VN00000006,IN_USE,HCM,,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=7,22VN00000006,5R4JGL3,Laptop Dell Latitude 3520,1,1
OBS-33E2042E4897,AID:22VN00000007,IN_USE,HCM,,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=8,22VN00000007,65G48S3,Laptop Dell Latitude 3420,1,1
OBS-5A2CC74F2E6B,AID:22VN00000008,IN_USE,HCM,,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=9,22VN00000008,2P8VKG3,Laptop Dell Latitude 3520,1,1
OBS-BDE27DCE0183,AID:22VN00000009,IN_USE,HCM,,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=10,22VN00000009,1583SQ3,Laptop Dell Latitude 5430,1,1
OBS-9759041F3A58,AID:22VN00000010,AVAILABLE,HCM,,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=11,22VN00000010,4Q9VKG3,Laptop Dell Latitude 3520,1,1
OBS-1EE068A2204A,AID:22VN00000011,IN_USE,HCM,,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=12,22VN00000011,F083SQ3,Laptop Dell Latitude 5430,1,1
OBS-B197923507D1,AID:22VN00000012,IN_USE,HCM,,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=13,22VN00000012,BR9VKG3,Laptop Dell Latitude 3520,1,1
OBS-24770C29F3FF,AID:22VN00000013,IN_USE,HCM,,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=14,22VN00000013,5CD1294NHX,Laptop HP Pavilion 15-eg0xxx,1,1
OBS-725236ED5E51,AID:22VN00000014,IN_USE,HCM,,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=15,22VN00000014,BKY5FX3,Laptop Dell Latitude 3520,1,1
OBS-C84CE9D04967,AID:22VN00000015,IN_USE,HCM,,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=16,22VN00000015,13D4SQ3,Laptop Dell Latitude 5430,1,1
OBS-526B555F5200,AID:22VN00000016,IN_USE,HCM,,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=17,22VN00000016,99C2LG3,Laptop Dell Latitude 3520,1,1
OBS-9372DF01100D,AID:22VN00000017,AVAILABLE,HCM,,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=18,22VN00000017,JP8VKG3,Laptop Dell Latitude 3520,1,1
OBS-4C14EBAA45F0,AID:22VN00000018,IN_USE,HCM,,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=19,22VN00000018,JR9VKG3,Laptop Dell Latitude 3520,1,1
