asset_key,asset_code,asset_id,serial_number,name,category_code,model_code,location_code,intended_location_code,department_code,employee_id,status,raw_qty,unit_index,notes,source_kind,source_refs,needs_review,source_store_code
AID:22VN00000001,22VN00000001,22VN00000001,DVV62J3,Laptop HP Latitude 7420,LAP,M-314ACABD20,HCM,,SCMDMMA0,23019420,IN_USE,1,1,Hostname: AMMAVNAMC000001; CPU: 1700 MHz 11th Gen Intel Core i7-1165G7 @ 2.80GHz; RAM: 16; Disk: 512,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=2 | Audit 2026 device/Office assets.xlsx#Asset!row=2,false,
AID:22VN00000002,22VN00000002,22VN00000002,124N1J3,Laptop Dell Latitude 7420,LAP,M-3CC4BECE8A,HCM,,SCECMMA0,25018683,IN_USE,1,1,Hostname: AMMAVNACC000002; CPU: 1700 MHz 11th Gen Intel Core i7-1165G7 @ 2.80GHz; RAM: 16; Disk: 512,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=3 | Audit 2026 device/Office assets.xlsx#Asset!row=3,false,
AID:22VN00000003,22VN00000003,22VN00000003,1Z8DZH3,Laptop Dell Latitude 5420,LAP,M-485AB63FDB,HCM,,SCLOMMA0,23019401,IN_USE,1,1,Hostname: AMMAVNACC000003; CPU: 1400 MHz 11th Gen Intel Core i5-1135G7 @ 2.40GHz; RAM: 16; Disk: 512,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=4 | Audit 2026 device/Office assets.xlsx#Asset!row=4,false,
AID:22VN00000004,22VN00000004,22VN00000004,42X2SQ3,Laptop Dell Latitude 5430,LAP,M-C77A43B17B,HCM,,SCMKMMA0,23019404,IN_USE,1,1,Hostname: AMMAVNACC000004; CPU: 2500 MHz 12th Gen Intel Core i5-1235U; RAM: 8; Disk: 512,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=5 | Audit 2026 device/Office assets.xlsx#Asset!row=5,false,
AID:22VN00000005,22VN00000005,22VN00000005,8P9VKG3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,HCM,,,,AVAILABLE,1,1,Hostname: AMMAVNACC000005; CPU: 2200 MHz 11th Gen Intel Core i3-1115G4 @ 3.00GHz; RAM: 8; Disk: 512,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=6,false,
AID:22VN00000006,22VN00000006,22VN00000006,5R4JGL3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,HCM,,SCMKMMA0,,IN_USE,1,1,Hostname: AMMAVNACC000006; CPU: 1400 MHz 11th Gen Intel Core i5-1135G7 @ 2.40GHz; RAM: 8; Disk: 256 | Unresolved holder name: Le Hong Bao Chau | Unresolved holder name: Le Hong Bao Chau,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=7 | Audit 2026 device/Office assets.xlsx#Asset!row=101,true,
AID:22VN00000007,22VN00000007,22VN00000007,65G48S3,Laptop Dell Latitude 3420,LAP,M-AB5CBB65FB,HCM,,SCACMMA0,,IN_USE,1,1,Hostname: AMMAVNACCC000007; CPU: 1400 MHz 11th Gen Intel Core i5-1135G7 @ 2.40GHz; RAM: 16; Disk: 512 | Unresolved holder name: Vu Anh Thu | Unresolved holder name: Vu Anh Thu,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=8 | Audit 2026 device/Office assets.xlsx#Asset!row=6,true,
AID:22VN00000008,22VN00000008,22VN00000008,2P8VKG3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,HCM,,,,UNDER_MAINTENANCE,1,1,"Hostname: AMMAVNACC000008; CPU: 1400 MHz 11th Gen Intel Core i3-1135G7 @ 2.40GHz; RAM: 8; Disk: 512 | Hư phím, ko có ram",OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=9 | Audit 2026 device/Office assets.xlsx#Asset!row=7,false,
AID:22VN00000009,22VN00000009,22VN00000009,1583SQ3,Laptop Dell Latitude 5430,LAP,M-C77A43B17B,HCM,,SCLOMMA0,23019399,IN_USE,1,1,Hostname: AMMAVNLOC000009; CPU: 2500 MHz 12th Gen Intel Core i5-1235U; RAM: 20; Disk: 512,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=10 | Audit 2026 device/Office assets.xlsx#Asset!row=8,false,
AID:22VN00000010,22VN00000010,22VN00000010,4Q9VKG3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,HCM,,,,AVAILABLE,1,1,Hostname: ZV44-ADMIN; CPU: 2200 MHz 11th Gen Intel Core i3-1115G4 @ 3.00GHz; RAM: 8; Disk: 256,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=11 | Audit 2026 device/Office assets.xlsx#Asset!row=9,false,
AID:22VN00000011,22VN00000011,22VN00000011,F083SQ3,Laptop Dell Latitude 5430,LAP,M-C77A43B17B,HCM,,SCACMMA0,,IN_USE,1,1,Hostname: AMMAVNMDC000011; CPU: 2500 MHz 12th Gen Intel Core i5-1235U; RAM: 16; Disk: 512 | Unresolved holder name: Vu Thi Thu Hien | Unresolved holder name: Nguyen Bao Ngoc | Unresolved holder name: Vu Thi Thu Hien,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=12 | Audit 2026 device/Office assets.xlsx#Asset!row=10 | Audit 2026 device/Office assets.xlsx#Asset!row=11,true,
AID:22VN00000012,22VN00000012,22VN00000012,BR9VKG3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,HCM,,,,IN_USE,1,1,CPU: 2200 MHz 11th Gen Intel Core i3-1115G4 @ 3.00GHz; RAM: 8; Disk: 256 | Unresolved holder name: ZV24-ADMIN TV:ZV12,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=13 | Audit 2026 device/Office assets.xlsx#Asset!row=12,true,
AID:22VN00000013,22VN00000013,22VN00000013,5CD1294NHX,Laptop HP Pavilion 15-eg0xxx,LAP,M-A645DD1D89,HCM,,SCHRMMA0,23019384,IN_USE,1,1,Hostname: AMMAVNHRC000013; CPU: 2400 MHz 11th Gen Intel Core i5-1135G7 @ 2.40GHz; RAM: 8; Disk: 512,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=14 | Audit 2026 device/Office assets.xlsx#Asset!row=13,false,
AID:22VN00000014,22VN00000014,22VN00000014,BKY5FX3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,HCM,,SCHRMMA0,23019385,IN_USE,1,1,Hostname: AMMAVNPUC000014; CPU: 11TH Gen Intel ® Core™ i5-1135G7 @2.40Ghz; RAM: 8; Disk: 256,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=15 | Audit 2026 device/Office assets.xlsx#Asset!row=14,false,
