issue_id,severity,issue_type,message,source_ref,entity_type,entity_key,employee_id,holder_name,store_code,quantity,serial_count
ISSUE-00001,REVIEW,MISSING_STORE_MASTER,Store VN22 has no reliable store name/master row,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=25,location,VN22,,,,,
ISSUE-00002,REVIEW,MISSING_STORE_MASTER,Store VA19 has no reliable store name/master row,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=28 | Audit 2026 device/Data store/Audit/VA19.xlsx | Asset management/Store/Details/VA19.xlsx | Asset management/Store/Dashboard.xlsx#All Stores!row=244 | Asset management/Store/Dashboard.xlsx#All Stores!row=245 | Asset management/Store/Dashboard.xlsx#All Stores!row=246 | Asset management/Store/Dashboard.xlsx#All Stores!row=247 | Asset management/Store/Dashboard.xlsx#All Stores!row=248 | Asset management/Store/Dashboard.xlsx#All Stores!row=249 | Asset management/Store/Dashboard.xlsx#All Stores!row=250 | Asset management/Store/Dashboard.xlsx#All Stores!row=251 | Asset management/Store/Dashboard.xlsx#All Stores!row=252 | Asset management/Store/Dashboard.xlsx#All Stores!row=253 | Asset management/Store/Dashboard.xlsx#All Stores!row=254 | Asset management/Store/Dashboard.xlsx#All Stores!row=255 | Asset management/Store/Dashboard.xlsx#All Stores!row=256 | Asset management/Store/Dashboard.xlsx#All Stores!row=257 | Asset management/Store/Dashboard.xlsx#All Stores!row=258 | Asset management/Store/Dashboard.xlsx#All Stores!row=259 | Asset management/Store/Dashboard.xlsx#All Stores!row=260,location,VA19,,,,,
ISSUE-00003,REVIEW,MISSING_STORE_MASTER,Store VN28 has no reliable store name/master row,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=29 | Audit 2026 device/Data store/Audit/VN28.xlsx | Asset management/Store/Details/VN28.xlsx | Asset management/Store/Dashboard.xlsx#All Stores!row=418 | Asset management/Store/Dashboard.xlsx#All Stores!row=419 | Asset management/Store/Dashboard.xlsx#All Stores!row=420 | Asset management/Store/Dashboard.xlsx#All Stores!row=421 | Asset management/Store/Dashboard.xlsx#All Stores!row=422 | Asset management/Store/Dashboard.xlsx#All Stores!row=423 | Asset management/Store/Dashboard.xlsx#All Stores!row=424 | Asset management/Store/Dashboard.xlsx#All Stores!row=425 | Asset management/Store/Dashboard.xlsx#All Stores!row=426 | Asset management/Store/Dashboard.xlsx#All Stores!row=427 | Asset management/Store/Dashboard.xlsx#All Stores!row=428 | Asset management/Store/Dashboard.xlsx#All Stores!row=429 | Asset management/Store/Dashboard.xlsx#All Stores!row=430 | Asset management/Store/Dashboard.xlsx#All Stores!row=431 | Asset management/Store/Dashboard.xlsx#All Stores!row=432 | Asset management/Store/Dashboard.xlsx#All Stores!row=433 | Asset management/Store/Dashboard.xlsx#All Stores!row=434,location,VN28,,,,,
ISSUE-00004,REVIEW,MISSING_STORE_MASTER,Store VH01 has no reliable store name/master row,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=30 | Audit 2026 device/Data store/Audit/VH01.xlsx | Asset management/Store/Details/VH01.xlsx | Asset management/Store/Dashboard.xlsx#All Stores!row=291 | Asset management/Store/Dashboard.xlsx#All Stores!row=292 | Asset management/Store/Dashboard.xlsx#All Stores!row=293 | Asset management/Store/Dashboard.xlsx#All Stores!row=294 | Asset management/Store/Dashboard.xlsx#All Stores!row=295 | Asset management/Store/Dashboard.xlsx#All Stores!row=296 | Asset management/Store/Dashboard.xlsx#All Stores!row=297 | Asset management/Store/Dashboard.xlsx#All Stores!row=298 | Asset management/Store/Dashboard.xlsx#All Stores!row=299 | Asset management/Store/Dashboard.xlsx#All Stores!row=300 | Asset management/Store/Dashboard.xlsx#All Stores!row=301 | Asset management/Store/Dashboard.xlsx#All Stores!row=302 | Asset management/Store/Dashboard.xlsx#All Stores!row=303 | Asset management/Store/Dashboard.xlsx#All Stores!row=304 | Asset management/Store/Dashboard.xlsx#All Stores!row=305,location,VH01,,,,,
ISSUE-00005,REVIEW,MISSING_STORE_MASTER,Store VO03 has no reliable store name/master row,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=31,location,VO03,,,,,
ISSUE-00006,REVIEW,MISSING_STORE_MASTER,Store A001 has no reliable store name/master row,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=32 | Audit 2026 device/Data store/Audit/A001.xlsx | Asset management/Store/Details/A001.xlsx | Asset management/Store/Dashboard.xlsx#All Stores!row=2 | Asset management/Store/Dashboard.xlsx#All Stores!row=3 | Asset management/Store/Dashboard.xlsx#All Stores!row=4 | Asset management/Store/Dashboard.xlsx#All Stores!row=5 | Asset management/Store/Dashboard.xlsx#All Stores!row=6 | Asset management/Store/Dashboard.xlsx#All Stores!row=7 | Asset management/Store/Dashboard.xlsx#All Stores!row=8 | Asset management/Store/Dashboard.xlsx#All Stores!row=9 | Asset management/Store/Dashboard.xlsx#All Stores!row=10 | Asset management/Store/Dashboard.xlsx#All Stores!row=11 | Asset management/Store/Dashboard.xlsx#All Stores!row=12 | Asset management/Store/Dashboard.xlsx#All Stores!row=13 | Asset management/Store/Dashboard.xlsx#All Stores!row=14 | Asset management/Store/Dashboard.xlsx#All Stores!row=15 | Asset management/Store/Dashboard.xlsx#All Stores!row=16,location,A001,,,,,
ISSUE-00007,REVIEW,MISSING_STORE_MASTER,Store A002 has no reliable store name/master row,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=33 | Audit 2026 device/Data store/Audit/A002.xlsx | Asset management/Store/Details/A002.xlsx | Asset management/Store/Dashboard.xlsx#All Stores!row=17 | Asset management/Store/Dashboard.xlsx#All Stores!row=18 | Asset management/Store/Dashboard.xlsx#All Stores!row=19 | Asset management/Store/Dashboard.xlsx#All Stores!row=20 | Asset management/Store/Dashboard.xlsx#All Stores!row=21 | Asset management/Store/Dashboard.xlsx#All Stores!row=22 | Asset management/Store/Dashboard.xlsx#All Stores!row=23 | Asset management/Store/Dashboard.xlsx#All Stores!row=24 | Asset management/Store/Dashboard.xlsx#All Stores!row=25 | Asset management/Store/Dashboard.xlsx#All Stores!row=26 | Asset management/Store/Dashboard.xlsx#All Stores!row=27 | Asset management/Store/Dashboard.xlsx#All Stores!row=28 | Asset management/Store/Dashboard.xlsx#All Stores!row=29 | Asset management/Store/Dashboard.xlsx#All Stores!row=30,location,A002,,,,,
ISSUE-00008,REVIEW,MISSING_STORE_MASTER,Store A003 has no reliable store name/master row,Audit 2026 device/Data store/Audit/A003.xlsx | Asset management/Store/Details/A003.xlsx | Asset management/Store/Dashboard.xlsx#All Stores!row=547 | Asset management/Store/Dashboard.xlsx#All Stores!row=548 | Asset management/Store/Dashboard.xlsx#All Stores!row=549 | Asset management/Store/Dashboard.xlsx#All Stores!row=550 | Asset management/Store/Dashboard.xlsx#All Stores!row=551 | Asset management/Store/Dashboard.xlsx#All Stores!row=552 | Asset management/Store/Dashboard.xlsx#All Stores!row=553 | Asset management/Store/Dashboard.xlsx#All Stores!row=554 | Asset management/Store/Dashboard.xlsx#All Stores!row=555 | Asset management/Store/Dashboard.xlsx#All Stores!row=556 | Asset management/Store/Dashboard.xlsx#All Stores!row=557 | Asset management/Store/Dashboard.xlsx#All Stores!row=558 | Asset management/Store/Dashboard.xlsx#All Stores!row=559 | Asset management/Store/Dashboard.xlsx#All Stores!row=560 | Asset management/Store/Dashboard.xlsx#All Stores!row=561,location,A003,,,,,
ISSUE-00009,REVIEW,MISSING_STORE_MASTER,Store V003 has no reliable store name/master row,Audit 2026 device/Data store/Audit/V003.xlsx | Asset management/Store/Details/V003.xlsx | Asset management/Store/Dashboard.xlsx#All Stores!row=31 | Asset management/Store/Dashboard.xlsx#All Stores!row=32 | Asset management/Store/Dashboard.xlsx#All Stores!row=33 | Asset management/Store/Dashboard.xlsx#All Stores!row=34 | Asset management/Store/Dashboard.xlsx#All Stores!row=35 | Asset management/Store/Dashboard.xlsx#All Stores!row=36 | Asset management/Store/Dashboard.xlsx#All Stores!row=37 | Asset management/Store/Dashboard.xlsx#All Stores!row=38 | Asset management/Store/Dashboard.xlsx#All Stores!row=39 | Asset management/Store/Dashboard.xlsx#All Stores!row=40 | Asset management/Store/Dashboard.xlsx#All Stores!row=41 | Asset management/Store/Dashboard.xlsx#All Stores!row=42 | Asset management/Store/Dashboard.xlsx#All Stores!row=43 | Asset management/Store/Dashboard.xlsx#All Stores!row=44 | Asset management/Store/Dashboard.xlsx#All Stores!row=45 | Asset management/Store/Dashboard.xlsx#All Stores!row=46 | Asset management/Store/Dashboard.xlsx#All Stores!row=47 | Asset management/Store/Dashboard.xlsx#All Stores!row=48 | Asset management/Store/Dashboard.xlsx#All Stores!row=49 | Asset management/Store/Dashboard.xlsx#All Stores!row=50 | Asset management/Store/Dashboard.xlsx#All Stores!row=51 | Asset management/Store/Dashboard.xlsx#All Stores!row=52,location,V003,,,,,
ISSUE-00010,REVIEW,MISSING_STORE_MASTER,Store VA18 has no reliable store name/master row,Audit 2026 device/Data store/Audit/VA18.xlsx | Asset management/Store/Details/VA18.xlsx | Asset management/Store/Dashboard.xlsx#All Stores!row=533 | Asset management/Store/Dashboard.xlsx#All Stores!row=534 | Asset management/Store/Dashboard.xlsx#All Stores!row=535 | Asset management/Store/Dashboard.xlsx#All Stores!row=536 | Asset management/Store/Dashboard.xlsx#All Stores!row=537 | Asset management/Store/Dashboard.xlsx#All Stores!row=538 | Asset management/Store/Dashboard.xlsx#All Stores!row=539 | Asset management/Store/Dashboard.xlsx#All Stores!row=540 | Asset management/Store/Dashboard.xlsx#All Stores!row=541 | Asset management/Store/Dashboard.xlsx#All Stores!row=542 | Asset management/Store/Dashboard.xlsx#All Stores!row=543 | Asset management/Store/Dashboard.xlsx#All Stores!row=544 | Asset management/Store/Dashboard.xlsx#All Stores!row=545 | Asset management/Store/Dashboard.xlsx#All Stores!row=546,location,VA18,,,,,
