location_code,name,brand,region,open_date,store_manager,phone,area_manager,organization_code,source_refs,inferred
VA01,New Balance Van Hanh Mall,,,,,,,MAP-VN,Audit 2026 device/Data store/Check List.xlsx#VN!row=3 | Audit 2026 device/Data store/Check List.xlsx#Sheet2!row=3 | Audit 2026 device/Data store/Check List.xlsx#Sheet2!row=16 | Audit 2026 device/Data store/Check List.xlsx#Sheet1!row=19 | Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=2 | Audit 2026 device/Data store/Audit/VA01.xlsx | Asset management/Store/Details/VA01.xlsx | Asset management/Store/Dashboard.xlsx#All Stores!row=53 | Asset management/Store/Dashboard.xlsx#All Stores!row=54 | Asset management/Store/Dashboard.xlsx#All Stores!row=55 | Asset management/Store/Dashboard.xlsx#All Stores!row=56 | Asset management/Store/Dashboard.xlsx#All Stores!row=57 | Asset management/Store/Dashboard.xlsx#All Stores!row=58 | Asset management/Store/Dashboard.xlsx#All Stores!row=59 | Asset management/Store/Dashboard.xlsx#All Stores!row=60 | Asset management/Store/Dashboard.xlsx#All Stores!row=61 | Asset management/Store/Dashboard.xlsx#All Stores!row=62 | Asset management/Store/Dashboard.xlsx#All Stores!row=63 | Asset management/Store/Dashboard.xlsx#All Stores!row=64 | Asset management/Store/Dashboard.xlsx#All Stores!row=65 | Asset management/Store/Dashboard.xlsx#All Stores!row=66 | Asset management/Store/Dashboard.xlsx#All Stores!row=67 | Asset management/Store/Dashboard.xlsx#All Stores!row=68 | Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=2 | Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=3 | Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=4 | Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=5 | Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=6 | Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=7 | Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=8 | Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=9 | Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=10 | Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=11 | Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=12 | Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=13 | Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=14 | Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=15 | Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=16 | Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=17 | Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=2 | Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=5 | Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=6 | Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=7 | Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=9 | Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=10 | Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=11 | Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=12 | Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=13 | Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=14 | Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=16 | Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=17 | Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=18,true
VA03,New Balance Aeon Le Chan,,,,,,,MAP-VN,Audit 2026 device/Data store/Check List.xlsx#VN!row=4 | Audit 2026 device/Data store/Check List.xlsx#Sheet2!row=4 | Audit 2026 device/Data store/Check List.xlsx#Sheet2!row=26 | Audit 2026 device/Data store/Check List.xlsx#Sheet1!row=13 | Audit 2026 device/Data store/Check List.xlsx#Sheet1!row=36 | Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=3 | Audit 2026 device/Data store/Audit/VA03.xlsx | Asset management/Store/Details/VA03.xlsx | Asset management/Store/Dashboard.xlsx#All Stores!row=69 | Asset management/Store/Dashboard.xlsx#All Stores!row=70 | Asset management/Store/Dashboard.xlsx#All Stores!row=71 | Asset management/Store/Dashboard.xlsx#All Stores!row=72 | Asset management/Store/Dashboard.xlsx#All Stores!row=73 | Asset management/Store/Dashboard.xlsx#All Stores!row=74 | Asset management/Store/Dashboard.xlsx#All Stores!row=75 | Asset management/Store/Dashboard.xlsx#All Stores!row=76 | Asset management/Store/Dashboard.xlsx#All Stores!row=77 | Asset management/Store/Dashboard.xlsx#All Stores!row=78 | Asset management/Store/Dashboard.xlsx#All Stores!row=79 | Asset management/Store/Dashboard.xlsx#All Stores!row=80 | Asset management/Store/Dashboard.xlsx#All Stores!row=81 | Asset management/Store/Dashboard.xlsx#All Stores!row=82 | Audit 2026 device/Data store/Audit/VA03.xlsx#VA03!row=2 | Audit 2026 device/Data store/Audit/VA03.xlsx#VA03!row=3 | Audit 2026 device/Data store/Audit/VA03.xlsx#VA03!row=4 | Audit 2026 device/Data store/Audit/VA03.xlsx#VA03!row=5 | Audit 2026 device/Data store/Audit/VA03.xlsx#VA03!row=6 | Audit 2026 device/Data store/Audit/VA03.xlsx#VA03!row=7 | Audit 2026 device/Data store/Audit/VA03.xlsx#VA03!row=8 | Audit 2026 device/Data store/Audit/VA03.xlsx#VA03!row=9 | Audit 2026 device/Data store/Audit/VA03.xlsx#VA03!row=10 | Audit 2026 device/Data store/Audit/VA03.xlsx#VA03!row=11 | Audit 2026 device/Data store/Audit/VA03.xlsx#VA03!row=12 | Audit 2026 device/Data store/Audit/VA03.xlsx#VA03!row=13 | Audit 2026 device/Data store/Audit/VA03.xlsx#VA03!row=14 | Audit 2026 device/Data store/Audit/VA03.xlsx#VA03!row=15,true
VA04,New Balance Gold Coast,,,,,,,MAP-VN,Audit 2026 device/Data store/Check List.xlsx#VN!row=5 | Audit 2026 device/Data store/Check List.xlsx#Sheet2!row=5 | Audit 2026 device/Data store/Check List.xlsx#Sheet2!row=19 | Audit 2026 device/Data store/Check List.xlsx#Sheet1!row=26 | Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=4 | Audit 2026 device/Data store/Audit/VA04.xlsx | Asset management/Store/Details/VA04.xlsx | Asset management/Store/Dashboard.xlsx#All Stores!row=83 | Asset management/Store/Dashboard.xlsx#All Stores!row=84 | Asset management/Store/Dashboard.xlsx#All Stores!row=85 | Asset management/Store/Dashboard.xlsx#All Stores!row=86 | Asset management/Store/Dashboard.xlsx#All Stores!row=87 | Asset management/Store/Dashboard.xlsx#All Stores!row=88 | Asset management/Store/Dashboard.xlsx#All Stores!row=89 | Asset management/Store/Dashboard.xlsx#All Stores!row=90 | Asset management/Store/Dashboard.xlsx#All Stores!row=91 | Asset management/Office/Office assets.xlsx#Sheet1!row=30 | Audit 2026 device/Data store/Audit/VA04.xlsx#VA04!row=2 | Audit 2026 device/Data store/Audit/VA04.xlsx#VA04!row=3 | Audit 2026 device/Data store/Audit/VA04.xlsx#VA04!row=4 | Audit 2026 device/Data store/Audit/VA04.xlsx#VA04!row=5 | Audit 2026 device/Data store/Audit/VA04.xlsx#VA04!row=6 | Audit 2026 device/Data store/Audit/VA04.xlsx#VA04!row=7 | Audit 2026 device/Data store/Audit/VA04.xlsx#VA04!row=8 | Audit 2026 device/Data store/Audit/VA04.xlsx#VA04!row=9 | Audit 2026 device/Data store/Audit/VA04.xlsx#VA04!row=10,true
VA05,New Balance Vincom Thao Dien,,,,,,,MAP-VN,Audit 2026 device/Data store/Check List.xlsx#VN!row=6 | Audit 2026 device/Data store/Check List.xlsx#Sheet2!row=6 | Audit 2026 device/Data store/Check List.xlsx#Sheet2!row=18 | Audit 2026 device/Data store/Check List.xlsx#Sheet1!row=13 | Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=5 | Audit 2026 device/Data store/Audit/VA05.xlsx | Asset management/Store/Details/VA05.xlsx | Asset management/Store/Dashboard.xlsx#All Stores!row=92 | Asset management/Store/Dashboard.xlsx#All Stores!row=93 | Asset management/Store/Dashboard.xlsx#All Stores!row=94 | Asset management/Store/Dashboard.xlsx#All Stores!row=95 | Asset management/Store/Dashboard.xlsx#All Stores!row=96 | Asset management/Store/Dashboard.xlsx#All Stores!row=97 | Asset management/Store/Dashboard.xlsx#All Stores!row=98 | Asset management/Store/Dashboard.xlsx#All Stores!row=99 | Asset management/Store/Dashboard.xlsx#All Stores!row=100 | Asset management/Store/Dashboard.xlsx#All Stores!row=101 | Asset management/Store/Dashboard.xlsx#All Stores!row=102 | Asset management/Store/Dashboard.xlsx#All Stores!row=103 | Asset management/Store/Dashboard.xlsx#All Stores!row=104 | Asset management/Store/Dashboard.xlsx#All Stores!row=105 | Asset management/Store/Dashboard.xlsx#All Stores!row=106 | Asset management/Store/Dashboard.xlsx#All Stores!row=107 | Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=2 | Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=3 | Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=4 | Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=5 | Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=6 | Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=7 | Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=8 | Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=9 | Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=10 | Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=11 | Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=12 | Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=13 | Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=14 | Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=15 | Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=16 | Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=17,true
VA06,New Balance Crescent mall,,,,,,,MAP-VN,Audit 2026 device/Data store/Check List.xlsx#VN!row=7 | Audit 2026 device/Data store/Check List.xlsx#Sheet2!row=7 | Audit 2026 device/Data store/Check List.xlsx#Sheet2!row=14 | Audit 2026 device/Data store/Check List.xlsx#Sheet1!row=27 | Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=6 | Audit 2026 device/Data store/Audit/VA06.xlsx | Asset management/Store/Details/VA06.xlsx | Asset management/Store/Dashboard.xlsx#All Stores!row=108 | Asset management/Store/Dashboard.xlsx#All Stores!row=109 | Asset management/Store/Dashboard.xlsx#All Stores!row=110 | Asset management/Store/Dashboard.xlsx#All Stores!row=111 | Asset management/Store/Dashboard.xlsx#All Stores!row=112 | Asset management/Store/Dashboard.xlsx#All Stores!row=113 | Asset management/Store/Dashboard.xlsx#All Stores!row=114 | Asset management/Store/Dashboard.xlsx#All Stores!row=115 | Asset management/Store/Dashboard.xlsx#All Stores!row=116 | Asset management/Store/Dashboard.xlsx#All Stores!row=117 | Asset management/Store/Dashboard.xlsx#All Stores!row=118 | Asset management/Store/Dashboard.xlsx#All Stores!row=119 | Asset management/Store/Dashboard.xlsx#All Stores!row=120 | Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=2 | Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=3 | Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=4 | Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=5 | Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=6 | Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=7 | Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=8 | Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=9 | Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=10 | Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=11 | Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=12 | Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=13 | Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=14,true
VA08,New Balance Diamond,,,,,,,MAP-VN,Audit 2026 device/Data store/Check List.xlsx#VN!row=8 | Audit 2026 device/Data store/Check List.xlsx#Sheet2!row=8 | Audit 2026 device/Data store/Check List.xlsx#Sheet2!row=15 | Audit 2026 device/Data store/Check List.xlsx#Sheet1!row=20 | Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=7 | Audit 2026 device/Data store/Audit/VA08.xlsx | Asset management/Store/Details/VA08.xlsx | Asset management/Store/Dashboard.xlsx#All Stores!row=121 | Asset management/Store/Dashboard.xlsx#All Stores!row=122 | Asset management/Store/Dashboard.xlsx#All Stores!row=123 | Asset management/Store/Dashboard.xlsx#All Stores!row=124 | Asset management/Store/Dashboard.xlsx#All Stores!row=125 | Asset management/Store/Dashboard.xlsx#All Stores!row=126 | Asset management/Store/Dashboard.xlsx#All Stores!row=127 | Asset management/Store/Dashboard.xlsx#All Stores!row=128 | Asset management/Store/Dashboard.xlsx#All Stores!row=129 | Asset management/Store/Dashboard.xlsx#All Stores!row=130 | Audit 2026 device/Data store/Audit/VA08.xlsx#VA08!row=2 | Audit 2026 device/Data store/Audit/VA08.xlsx#VA08!row=3 | Audit 2026 device/Data store/Audit/VA08.xlsx#VA08!row=4 | Audit 2026 device/Data store/Audit/VA08.xlsx#VA08!row=5 | Audit 2026 device/Data store/Audit/VA08.xlsx#VA08!row=6 | Audit 2026 device/Data store/Audit/VA08.xlsx#VA08!row=7 | Audit 2026 device/Data store/Audit/VA08.xlsx#VA08!row=8 | Audit 2026 device/Data store/Audit/VA08.xlsx#VA08!row=9 | Audit 2026 device/Data store/Audit/VA08.xlsx#VA08!row=10 | Audit 2026 device/Data store/Audit/VA08.xlsx#VA08!row=11,true
VA11,New Balance Nguyen Trai D1,,,,,,,MAP-VN,Audit 2026 device/Data store/Check List.xlsx#VN!row=9 | Audit 2026 device/Data store/Check List.xlsx#Sheet2!row=9 | Audit 2026 device/Data store/Check List.xlsx#Sheet2!row=17 | Audit 2026 device/Data store/Check List.xlsx#Sheet1!row=28 | Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=8 | Audit 2026 device/Data store/Audit/VA11.xlsx | Asset management/Store/Details/VA11.xlsx | Asset management/Store/Dashboard.xlsx#All Stores!row=131 | Asset management/Store/Dashboard.xlsx#All Stores!row=132 | Asset management/Store/Dashboard.xlsx#All Stores!row=133 | Asset management/Store/Dashboard.xlsx#All Stores!row=134 | Asset management/Store/Dashboard.xlsx#All Stores!row=135 | Asset management/Store/Dashboard.xlsx#All Stores!row=136 | Asset management/Store/Dashboard.xlsx#All Stores!row=137 | Asset management/Store/Dashboard.xlsx#All Stores!row=138 | Asset management/Store/Dashboard.xlsx#All Stores!row=139 | Asset management/Store/Dashboard.xlsx#All Stores!row=140 | Asset management/Store/Dashboard.xlsx#All Stores!row=141 | Asset management/Store/Dashboard.xlsx#All Stores!row=142 | Asset management/Store/Dashboard.xlsx#All Stores!row=143 | Asset management/Store/Dashboard.xlsx#All Stores!row=144 | Audit 2026 device/Data store/Audit/VA11.xlsx#VA11!row=2 | Audit 2026 device/Data store/Audit/VA11.xlsx#VA11!row=3 | Audit 2026 device/Data store/Audit/VA11.xlsx#VA11!row=4 | Audit 2026 device/Data store/Audit/VA11.xlsx#VA11!row=5 | Audit 2026 device/Data store/Audit/VA11.xlsx#VA11!row=6 | Audit 2026 device/Data store/Audit/VA11.xlsx#VA11!row=7 | Audit 2026 device/Data store/Audit/VA11.xlsx#VA11!row=8 | Audit 2026 device/Data store/Audit/VA11.xlsx#VA11!row=9 | Audit 2026 device/Data store/Audit/VA11.xlsx#VA11!row=10 | Audit 2026 device/Data store/Audit/VA11.xlsx#VA11!row=11 | Audit 2026 device/Data store/Audit/VA11.xlsx#VA11!row=12 | Audit 2026 device/Data store/Audit/VA11.xlsx#VA11!row=13 | Audit 2026 device/Data store/Audit/VA11.xlsx#VA11!row=14 | Audit 2026 device/Data store/Audit/VA11.xlsx#VA11!row=15,true
VA12,New Balance Lotte mall,,,,,,,MAP-VN,Audit 2026 device/Data store/Check List.xlsx#VN!row=10 | Audit 2026 device/Data store/Check List.xlsx#Sheet2!row=10 | Audit 2026 device/Data store/Check List.xlsx#Sheet2!row=30 | Audit 2026 device/Data store/Check List.xlsx#Sheet1!row=14 | Audit 2026 device/Data store/Check List.xlsx#Sheet1!row=37 | Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=9 | Audit 2026 device/Data store/Audit/VA12.xlsx | Asset management/Store/Details/VA12.xlsx | Asset management/Store/Dashboard.xlsx#All Stores!row=145 | Asset management/Store/Dashboard.xlsx#All Stores!row=146 | Asset management/Store/Dashboard.xlsx#All Stores!row=147 | Asset management/Store/Dashboard.xlsx#All Stores!row=148 | Asset management/Store/Dashboard.xlsx#All Stores!row=149 | Asset management/Store/Dashboard.xlsx#All Stores!row=150 | Asset management/Store/Dashboard.xlsx#All Stores!row=151 | Asset management/Store/Dashboard.xlsx#All Stores!row=152 | Asset management/Store/Dashboard.xlsx#All Stores!row=153 | Asset management/Store/Dashboard.xlsx#All Stores!row=154 | Asset management/Store/Dashboard.xlsx#All Stores!row=155 | Asset management/Store/Dashboard.xlsx#All Stores!row=156 | Asset management/Store/Dashboard.xlsx#All Stores!row=157 | Asset management/Store/Dashboard.xlsx#All Stores!row=158 | Asset management/Store/Dashboard.xlsx#All Stores!row=159 | Asset management/Store/Dashboard.xlsx#All Stores!row=160 | Asset management/Store/Dashboard.xlsx#All Stores!row=161 | Asset management/Store/Dashboard.xlsx#All Stores!row=162 | Asset management/Store/Dashboard.xlsx#All Stores!row=163 | Asset management/Store/Dashboard.xlsx#All Stores!row=164 | Asset management/Store/Dashboard.xlsx#All Stores!row=165 | Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=2 | Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=3 | Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=4 | Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=5 | Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=6 | Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=7 | Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=8 | Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=9 | Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=10 | Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=13 | Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=14 | Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=15 | Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=16 | Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=17 | Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=18 | Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=19 | Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=20 | Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=21 | Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=22,true
VA13,New Balance Parc Mall,,,,,,,MAP-VN,Audit 2026 device/Data store/Check List.xlsx#VN!row=11 | Audit 2026 device/Data store/Check List.xlsx#Sheet2!row=11 | Audit 2026 device/Data store/Check List.xlsx#Sheet2!row=22 | Audit 2026 device/Data store/Check List.xlsx#Sheet1!row=29 | Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=10 | Audit 2026 device/Data store/Audit/VA13.xlsx | Asset management/Store/Details/VA13.xlsx | Asset management/Store/Dashboard.xlsx#All Stores!row=166 | Asset management/Store/Dashboard.xlsx#All Stores!row=167 | Asset management/Store/Dashboard.xlsx#All Stores!row=168 | Asset management/Store/Dashboard.xlsx#All Stores!row=169 | Asset management/Store/Dashboard.xlsx#All Stores!row=170 | Asset management/Store/Dashboard.xlsx#All Stores!row=171 | Asset management/Store/Dashboard.xlsx#All Stores!row=172 | Asset management/Store/Dashboard.xlsx#All Stores!row=173 | Asset management/Store/Dashboard.xlsx#All Stores!row=174 | Asset management/Store/Dashboard.xlsx#All Stores!row=175 | Asset management/Store/Dashboard.xlsx#All Stores!row=176 | Asset management/Store/Dashboard.xlsx#All Stores!row=177 | Asset management/Store/Dashboard.xlsx#All Stores!row=178 | Asset management/Store/Dashboard.xlsx#All Stores!row=179 | Asset management/Store/Dashboard.xlsx#All Stores!row=180 | Asset management/Store/Dashboard.xlsx#All Stores!row=181 | Audit 2026 device/Data store/Audit/VA13.xlsx#VA13!row=2 | Audit 2026 device/Data store/Audit/VA13.xlsx#VA13!row=3 | Audit 2026 device/Data store/Audit/VA13.xlsx#VA13!row=4 | Audit 2026 device/Data store/Audit/VA13.xlsx#VA13!row=5 | Audit 2026 device/Data store/Audit/VA13.xlsx#VA13!row=6 | Audit 2026 device/Data store/Audit/VA13.xlsx#VA13!row=7 | Audit 2026 device/Data store/Audit/VA13.xlsx#VA13!row=8 | Audit 2026 device/Data store/Audit/VA13.xlsx#VA13!row=9 | Audit 2026 device/Data store/Audit/VA13.xlsx#VA13!row=10 | Audit 2026 device/Data store/Audit/VA13.xlsx#VA13!row=11 | Audit 2026 device/Data store/Audit/VA13.xlsx#VA13!row=12 | Audit 2026 device/Data store/Audit/VA13.xlsx#VA13!row=13 | Audit 2026 device/Data store/Audit/VA13.xlsx#VA13!row=14 | Audit 2026 device/Data store/Audit/VA13.xlsx#VA13!row=15 | Audit 2026 device/Data store/Audit/VA13.xlsx#VA13!row=16 | Audit 2026 device/Data store/Audit/VA13.xlsx#VA13!row=17,true
VA14,New Balance Vincom Dong Khoi,,,,,,,MAP-VN,Audit 2026 device/Data store/Check List.xlsx#VN!row=12 | Audit 2026 device/Data store/Check List.xlsx#Sheet2!row=12 | Audit 2026 device/Data store/Check List.xlsx#Sheet2!row=23 | Audit 2026 device/Data store/Check List.xlsx#Sheet1!row=21 | Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=11 | Audit 2026 device/Data store/Audit/VA14.xlsx | Asset management/Store/Details/VA14.xlsx | Asset management/Store/Dashboard.xlsx#All Stores!row=182 | Asset management/Store/Dashboard.xlsx#All Stores!row=183 | Asset management/Store/Dashboard.xlsx#All Stores!row=184 | Asset management/Store/Dashboard.xlsx#All Stores!row=185 | Asset management/Store/Dashboard.xlsx#All Stores!row=186 | Asset management/Store/Dashboard.xlsx#All Stores!row=187 | Asset management/Store/Dashboard.xlsx#All Stores!row=188 | Asset management/Store/Dashboard.xlsx#All Stores!row=189 | Asset management/Store/Dashboard.xlsx#All Stores!row=190 | Asset management/Store/Dashboard.xlsx#All Stores!row=191 | Asset management/Store/Dashboard.xlsx#All Stores!row=192 | Asset management/Store/Dashboard.xlsx#All Stores!row=193 | Asset management/Store/Dashboard.xlsx#All Stores!row=194 | Asset management/Store/Dashboard.xlsx#All Stores!row=195 | Asset management/Store/Dashboard.xlsx#All Stores!row=196 | Asset management/Store/Dashboard.xlsx#All Stores!row=197 | Asset management/Store/Dashboard.xlsx#All Stores!row=198 | Audit 2026 device/Data store/Audit/VA14.xlsx#VA14!row=2 | Audit 2026 device/Data store/Audit/VA14.xlsx#VA14!row=3 | Audit 2026 device/Data store/Audit/VA14.xlsx#VA14!row=4 | Audit 2026 device/Data store/Audit/VA14.xlsx#VA14!row=5 | Audit 2026 device/Data store/Audit/VA14.xlsx#VA14!row=6 | Audit 2026 device/Data store/Audit/VA14.xlsx#VA14!row=7 | Audit 2026 device/Data store/Audit/VA14.xlsx#VA14!row=8 | Audit 2026 device/Data store/Audit/VA14.xlsx#VA14!row=9 | Audit 2026 device/Data store/Audit/VA14.xlsx#VA14!row=10 | Audit 2026 device/Data store/Audit/VA14.xlsx#VA14!row=11 | Audit 2026 device/Data store/Audit/VA14.xlsx#VA14!row=12 | Audit 2026 device/Data store/Audit/VA14.xlsx#VA14!row=13 | Audit 2026 device/Data store/Audit/VA14.xlsx#VA14!row=14 | Audit 2026 device/Data store/Audit/VA14.xlsx#VA14!row=15 | Audit 2026 device/Data store/Audit/VA14.xlsx#VA14!row=16 | Audit 2026 device/Data store/Audit/VA14.xlsx#VA14!row=17 | Audit 2026 device/Data store/Audit/VA14.xlsx#VA14!row=18,true
