shipment_key,target_location_code,category,hardware_type,model,quantity,serial_numbers,source_ref,status
SHIP-89BF2E4719,VO04,POS,Mini Pc,HP Prodesk 400 G7,1,8CC33807N6,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 1 (VO04)!row=3,PLANNED
SHIP-21883BFD22,VO04,POS,Mini Pc,HP Prodesk 400 G7,1,8CC33807NS,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 1 (VO04)!row=4,PLANNED
SHIP-D8278A99DF,VO04,Back-end,A4 Printer,HP Laserjet pro M15w,1,VNC3K04690,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 1 (VO04)!row=5,PLANNED
SHIP-01BAB8E81D,VO04,Network,Switch,Cisco CBS110-16T-EU,1,KWC294003EG,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 1 (VO04)!row=6,PLANNED
SHIP-4EB8052431,VO04,PDT,PDT,Zebra TC27,1,S26023524700851,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 1 (VO04)!row=7,PLANNED
SHIP-751602FAFE,VO04,PDT,PDT,Zebra TC27,1,S26023524701186,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 1 (VO04)!row=8,PLANNED
SHIP-E5785363C8,VO04,PDT,PDT,Zebra TC27,1,S26023524701058,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 1 (VO04)!row=9,PLANNED
SHIP-996EE21C27,VO04,PDT,PDT,Zebra TC27,1,S26024524700326,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 1 (VO04)!row=10,PLANNED
SHIP-07498C965F,VO04,PDT,PDT,Zebra TC27,1,S26024524700308,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 1 (VO04)!row=11,PLANNED
SHIP-FB678A193D,VO04,PDT,PDT printer,Zebra ZQ210,1,XXZTN261200011,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 1 (VO04)!row=12,PLANNED
SHIP-4E0BDDF86C,VO04,PDT,PDT printer,Zebra ZQ210,1,XXZTN261200006,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 1 (VO04)!row=13,PLANNED
SHIP-1C66F8B5CE,VO04,POS,Pole Display,Pole Display,1,D190928010055,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 1 (VO04)!row=14,PLANNED
SHIP-850BA762AD,VO04,POS,Mouse,Mouse,2,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 1 (VO04)!row=15,PLANNED
SHIP-C510AEE18D,VO04,POS,Keyboard,Keyboard,2,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 1 (VO04)!row=16,PLANNED
SHIP-D923E9EA83,VO04,POS,Cash Drawer,Poscom 410,1,20201130015,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 2 (VO04) !row=3,PLANNED
SHIP-4C23B11D52,VO04,POS,Cash Drawer,Poscom 410,1,2020092533,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 2 (VO04) !row=4,PLANNED
