item,device_type,reported_stock,note,source_ref
Ram 4Gb,Ram,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=2
Maken MK410,Cash Drawer,7,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=3
Antech,Cash Drawer,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=4
Poscom,Cash Drawer,4,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=5
KA410,Cash Drawer,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=6
Cash drawer of mall,Cash Drawer,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=7
Epson L850,Color Printer,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=8
HP Laserjet P2055D,A4 Printer,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=9
Epson TM-U220A,Bill Printer,3,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=10
Canon L11121E,A4 Printer,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=11
Canon LBP 2900,A4 Printer,7,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=12
HP Laserjet pro M15w,A4 Printer,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=13
HP Laserjet pro M12w,A4 Printer,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=14
HP Pavilion 550-029I,Desktop,2,Location: Pantry room,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=15
PC-none use,Desktop,4,Location: Pantry room,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=16
HDD 500Gb,hard disk drive,7,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=17
HP ProDesk 400 G3 DM,Mini Pc,7,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=18
HP 280 G3 MT,Desktop,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=19
HP 190V,Monitor,10,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=20
HP 194V,Monitor,3,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=21
AOC 1619Sw,Monitor,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=22
AOC 931Swl,Monitor,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=23
Samsung B1930N,Monitor,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=24
Acer P196HQL,Monitor,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=25
D-LINK DIR-619L,Router,0,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=26
HDMI to HDMI (3M),HDMI Cable,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=27
Lion (3 Port),Power socket,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=28
Power socket,Power socket,7,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=29
Cable extend usb,Cable,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=30
Comscope Cat5e,Ethernet Cable Cat5e,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=31
Keyboard,Keyboard,19,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=32
Mouse,Mouse,21,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=33
Aruba APIN0303,Access Point,0,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=34
Ruckus R720,Access Point,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=35
Avaya,IP Phone,7,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=36
TPink TL-WN725N,Usb Wifi,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=37
Mercusys,Switch,3,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=38
Ugreen 4 port,Hub Usb,0,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=39
VGA to HDMI,Cable,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=40
HDMI to HDMI (2M),HDMI Cable,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=41
HDMI to HDMI (1M) - Baseus,HDMI Cable,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=42
Lexar-32Gb,Usb,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=43
Usb to Lan - Orico,Usb Lan,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=44
Hub Usb Orico 4 Port,Hub Usb,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=45
HDMI to HDMI - Unitek,HDMI Cable,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=46
Usb to Lan - Ugreen,Usb Lan,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=47
Display port to Display Port,Display port Cable,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=48
Dlink - DSL 2640B,Router,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=49
Usb to Lan - Baseus,Usb Lan,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=50
Hub Usb Unitek - 4 Port,Hub Usb,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=51
Unitek - HDMI to VGA,HDMI to VGA,0,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=52
Epson Usb wifi,Usb Wifi,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=53
Usb To Lan - Asus,Usb Lan,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=54
Epson TM-82II,Bill Printer,7,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=55
Laptop Thinkpad X280,Laptop,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=56
Laptop Dell Latitude 3520,Laptop,8,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=57
Laptop Dell Latitude 5430,Laptop,3,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=58
Laptop HP 14s-cf2xxx,Laptop,0,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=59
HP 4-1011TU,Laptop,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=60
HP Elitebook 840 G4,Laptop,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=61
HP Probook 440 G2,Laptop,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=62
Dell Vostro 14-5480,Laptop,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=63
Brother Label,label,4,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=64
Ổ SSD 256 Gb,SSD Hard Disk,3,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=65
Ổ HDD,HDD Hard Disk,8,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=66
Ổ SSD 500 Gb,SSD Hard Disk,0,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=67
Play MC500,Media Player,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=68
TP-Link TL-SG116,Switch,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=69
D-Link DES-1016D,Switch,4,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=70
D-Link DES-1026G,Switch,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=71
Aruba HPE J9772A,Switch,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=72
Draytek Vigor 300B,Router,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=73
Lenovo tab M8,Blue tab,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=74
