transaction_key,item,transaction_type,quantity,transaction_date,unit,assigned_to,serial_numbers,description,remark,source_ref
STK-0C68BEF8E6,Ram 4Gb,IN,4,16/02/2024,pcs,Stock IT,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=2
STK-6BFD9B9078,Ram 4Gb,OUT,1,16/02/2024,pcs,linh.lengocmy,,upgrade linh.lengocmy's laptop,Broken: can't fix None-use: Don't use anymore and don't the status of device,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=3
STK-CD7AC3D38A,Maken MK410,IN,8,22/02/2024,pcs,Stock IT,MK410221102420MK410220300197MK410211201000MK410211201512MK410220300423MK410221102371MK410221102347MK410220300326,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=4
STK-6ECB182A61,Antech,IN,1,22/02/2024,pcs,Stock IT,DGAV141220180773B5AT100009,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=5
STK-F50EC597E0,Poscom,IN,2,22/02/2024,pcs,Stock IT,2020092533,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=6
STK-77230E06A8,KA410,IN,1,22/02/2024,pcs,Stock IT,20230526081,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=7
STK-B2BBEB41F4,Cash drawer of mall,IN,1,22/02/2024,pcs,Stock IT,200414009618,Quỳnh AM đóng nhầm cash drawer của smart city,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=8
STK-E58A2A99EC,Epson L850,IN,1,22/02/2024,pcs,Stock IT,UTUY000488,Broken -Mr.Dat confirmed can't fix because don't have replacement components,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=9
STK-CED08CCFA8,HP Laserjet P2055D,IN,1,22/02/2024,pcs,Stock IT,CNCJY00421,Broken -Mr.Dat confirmed can't fix because don't have replacement components,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=10
STK-1FEE85A775,Epson TM-U220A,IN,3,22/02/2024,pcs,Stock IT,L98F275060L97F002416L9CF300124,"Lose power supply, usb cable - Indo not use this model anymore (Mr.Dat confirmed)",,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=11
STK-128130574C,Canon L11121E,IN,1,22/02/2024,pcs,Stock IT,NMYA744682,Old,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=12
STK-8E57FD8CC9,Canon LBP 2900,IN,1,22/02/2024,pcs,Stock IT,NMYA783808,"New, lô hàng satatech",,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=13
STK-37D29D5A9A,HP Laserjet pro M15w,IN,1,22/02/2024,pcs,Stock IT,VNC3K04690,Old,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=14
STK-64D9EA0015,HP Laserjet pro M15w,IN,1,22/02/2024,pcs,Stock IT,VNC3K04070,Old,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=15
STK-A92CA4A305,HP Laserjet pro M15w,IN,1,22/02/2024,pcs,Stock IT,VNC3K05078,Old,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=16
STK-EA915F3049,HP Laserjet pro M12w,IN,1,22/02/2024,pcs,Stock IT,VNCW613481,Old,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=17
STK-64529A7CCA,Antech,IN,1,22/02/2024,pcs,Stock IT,DGAV141220180609,Old,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=18
STK-B602C8D3A7,HP Pavilion 550-029I,IN,1,22/02/2024,pcs,Location: Pantry room,4CE5360DVB,Old,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=19
STK-D1306C850C,PC-none use,IN,4,22/02/2024,pcs,Location: Pantry room,,Don't know information - don't have any info on the case,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=20
STK-D83A7EC316,HDD 500Gb,IN,1,22/02/2024,pcs,Stock IT,W62LE31F,Old,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=21
STK-9F6489EDE2,HDD 500Gb,IN,1,22/02/2024,pcs,Stock IT,W62KW2KT,Old,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=22
STK-9E8D7D73D6,HDD 500Gb,IN,1,22/02/2024,pcs,Stock IT,W62L7N1A,Old,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=23
STK-E83A912677,HDD 500Gb,IN,1,22/02/2024,pcs,Stock IT,W62LFH4H,Old,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=24
STK-01BFA44996,HDD 500Gb,IN,1,22/02/2024,pcs,Stock IT,W62KWFS9,Old,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=25
