location_code,firewall_serial,ip_gateway,ip_wan,ip_wan_default_gateway,note,source_ref
VA01,FGT40FTK24013312,10.87.66.14,113.161.94.235,203.210.144.238,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=2
VA03,FGT40FTK24013962,10.87.66.110,14.224.184.14,123.29.4.114,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=3
VA04,FGT40FTK24008605,10.87.66.162,113.160.250.174,123.29.8.68,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=4
VA05,FGT40FTK24012852,10.87.66.142,113.161.57.112,203.210.144.229,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=5
VA06,FGT40FTK24009146,10.87.65.222,123.20.127.156,203.210.144.222,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=6
VA08,FGT40FTK24013313,10.87.65.254,14.161.7.51,203.210.144.240,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=7
VA11,FGT40FTK24010928,10.87.65.206,14.161.5.241,14.169.128.1,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=8
VA12,FGT40FTK24014007,10.87.65.238,222.252.99.138,203.210.148.97,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=9
VA13,FGT40FTK24010083,10.87.67.62,115.79.197.32,125.235.249.147,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=10
VA14,FGT40FTK2309D2CM,10.87.67.78,115.78.133.202,125.235.249.190,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=11
VA15,FGT40FTK24012854,10.87.66.174,115.78.92.155,125.235.249.189,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=12
VA16,FGT40FTK24006198,10.87.66.158,115.79.5.240,125.235.249.190,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=13
VA20,FGT40FTK2309D2HW,10.87.67.94,14.161.40.183,203.210.144.229,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=14
VA23,FGT40FTK24012877,10.87.67.124,117.4.243.172,27.71.251.133,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=15
VI03,FGT40FTK2309D2DB,10.87.67.110,118.69.183.178,118.69.185.110,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=16
VN05,FGT40FTK24014025,10.87.65.142,42.114.196.122,118.69.185.182,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=17
VN06,FGT40FTK24086300,10.87.66.254,14.160.26.116,203.210.148.85,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=18
VN07,FGT40FTK24013578,10.87.65.126,113.161.70.167,14.169.128.1,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=19
VN09,FGT40FTK24006929,10.87.66.94,113.161.167.91,123.29.12.60,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=20
VN10,FGT40FTK24011504,10.87.65.158,14.161.19.32,203.210.144.239,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=21
VN12,FGT40FTK24007541,10.87.65.174,222.252.99.243,203.210.148.97,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=22
VN16,FGT40FTK24009393,10.87.66.62,14.161.47.131,203.210.144.238,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=23
VN19,FGT40FTK24087105,10.87.66.206,113.160.249.103,123.29.8.68,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=24
VN22,,,,,Dùng card mạng ảo không thấy gateway,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=25
VN27,FGT40FTK24006970,10.87.65.190,113.161.58.64,203.210.144.236,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=26
VO02,FGT60FTK23087443,10.87.70.254,,,Không truy cập vào đc fortinet nhưng có thể ping được,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=27
VA19,FGT40FTK24086985,10.87.67.158,,,ko đăng nhập đc vào firewall (Authentication Failed),Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=28
VN28,FGT40FTK24086493,10.87.67.174,117.4.241.85,27.71.251.133,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=29
VH01,FGT40FTK24086915,10.87.67.190,117.4.244.151,27.71.251.133,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=30
VO03,FGT60FTK23084659,10.87.72.254,,,Không truy cập vào đc fortinet nhưng có thể ping được,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=31
A001,FGT40FTK2309D2D4,10.87.67.142,222.252.98.211,,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=32
A002,FGT40FTK24007310,10.87.67.206,113.161.78.168,203.210.144.229,,Audit 2026 device/Data store/Firewall Serial Number.xlsx#Sheet1!row=33
